dataset_id,title,organization,sector,tags,formats,num_resources,metadata_created,metadata_modified,description,source_url
35a18274-b04c-4db6-b732-b23ff68a359b,"6th Minor Irrigation Census - Village Schedule, Ground Water Schemes, Surface Water Schemes","Department of Water Resources, River Development & Ganga Rejuvenation",Water Resources,Minor Irrigation Census|Ground Water Schemes|Surface Water Schemes,,,2023-09-19,2024-07-16,"The Sixth Minor Irrigation Census was conducted with reference year 2017-18. All the relevant details and documents of the census like schedules, manuals, All India Reports etc. can be accessed at https://mowr.nic.in/irrigationcensus/",https://www.data.gov.in/catalog/6th-minor-irrigation-census-village-schedule-ground-water-schemes-surface-water-schemes
ef17fd01-85f2-4feb-85db-dc56463171ff,District-wise Key Performance Indicators,Ministry of Rural Development,Land Resources,WDC-PMKSY|Achievements,,,2023-09-29,2023-10-04,"District-wise Data on key performance Indicators of WDC - PMKSY2.0.The Department has been implementing a Centrally Sponsored Scheme (CSS) Integrated Watershed Management Programme (IWMP) since 2009-10, which was amalgamated as the Watershed Development Component of PMKSY (WDC-PMKSY) in 2015-16. The continuation of WDC-PMKSY has been allowed by the Government of India on 15.12.2021 as WDC-PMKSY 2.0 for the project period of 2021-2026.",https://www.data.gov.in/catalog/district-wise-key-performance-indicators
1f649a7b-ffed-4fce-bd3b-40132fc96042,Watershed Development Component of PMKSY 2.0  Projects details,Ministry of Rural Development,Rural,Watershed|watershed development,,,2023-06-01,2023-06-01,"State-wise, District-wise Details of Watershed Development Projects Sanctioned including Area Sanctioned, Total Cost",https://www.data.gov.in/catalog/watershed-development-component-pmksy-20-projects-details
7a60265c-dafc-4fd1-9c2a-ff27d927c73b,Digital Availability,Ministry of Housing and Urban Affairs,Others,Access|Citizen|digital payment|payment,,,2019-02-04,2025-02-12,This indicator helps determine the % of citizen services available online,https://www.data.gov.in/catalog/digital-availability-3
f35ff5d9-6d88-46cc-b79c-c85d0ad29743,Solid Waste Management for Bareilly,Ministry of Housing and Urban Affairs,Development,Anaerobic Digestion|Bins|Biomethanation|capacity|Charges|Collection|Compost|Composting|D2D|Disposal|door2door|Energy|garbage|Generation|Households|incineration|Landfill|Pelletization|Plasma Pyrolysis|Power|Process|Quantity|RDF|recyclables|Recycling|Refuse Derived Fuel|Revenue|Sanitation|segregation|sewerage|toilet|Transportation|treatment|user|vehicle|Waste|water|Windrow composting,,,2019-02-05,2025-02-17,"This catalog defines source segregation, D2D collection efficiency, placement and sizes of bins, collection vehicles and their capacity, types of processing of waste and disposal options available for waste collected",https://www.data.gov.in/catalog/solid-waste-management-bareilly-1
ada796e9-cf7a-4ec3-9979-e60622615ec3,Demographic Profile of Bareilly,Ministry of Housing and Urban Affairs,Statistics,Households,,,2019-02-05,2025-02-12,"The catalog contains data regarding basic indicators like area, population, workforce participation and households present in the city. These indicators define the basic profile of the city.",https://www.data.gov.in/catalog/demographic-profile-bareilly-0
44b03713-f7ad-42d0-93fa-4eb560a34d39,Property Tax Data : Bareilly,Ministry of Housing and Urban Affairs,Finance,Property Tax,,,2019-02-05,2019-02-21,This denotes the efficiency achieved by a city in collecting property taxes against the tax demand raised in a given year.,https://www.data.gov.in/catalog/property-tax-data-bareilly
e8e8fd27-ae07-4b53-b4e4-0a0cd3ea6c53,Solid Waste Management : Bareilly,Ministry of Housing and Urban Affairs,Development,Collection|SolidWaste|vehicle,,,2019-02-05,2025-02-17,"This catalog defines source segregation, D2D collection efficiency, placement and sizes of bins, collection vehicles and their capacity, types of processing of waste and disposal options available for waste collected",https://www.data.gov.in/catalog/solid-waste-management-bareilly-2
f0d406fa-1d29-4e6a-8090-b23afbeadaf7,Solid Waste Management:Bareilly,Ministry of Housing and Urban Affairs,Environment and Forest,door2door D2D garbage collection segregation,,,2019-02-05,2019-02-21,"This catalog defines source segregation, D2D collection efficiency, placement and sizes of bins, collection vehicles and their capacity, types of processing of waste and disposal options available for waste collected",https://www.data.gov.in/catalog/solid-waste-managementbareilly-3
fd001572-5bdb-42e1-9eff-af735ece1a83,Solid Waste Management : Bareilly,Ministry of Housing and Urban Affairs,Environment and Forest,MSW Ward Wise Generation_Bareilly,,,2019-02-05,2019-02-21,"This catalog defines source segregation, D2D collection efficiency, placement and sizes of bins, collection vehicles and their capacity, types of processing of waste and disposal options available for waste collected",https://www.data.gov.in/catalog/solid-waste-management-bareilly-3
867d64be-d557-423e-95f9-8dee2b499fc1,Solid Waste Management:Bareilly,Ministry of Housing and Urban Affairs,Environment and Forest,Solid Waste Management - Efficiency,,,2019-02-06,2019-02-21,Solid Waste Management - Efficiency,https://www.data.gov.in/catalog/solid-waste-managementbareilly-0
59494ae9-34f2-4df6-98ae-c67fdaacb330,Buses : Bareilly Smart City,Ministry of Housing and Urban Affairs,Road Transport,Bus|cost|earnings|Revenue|stands|Stops|Terminals,,,2019-02-07,2025-02-18,This catalog helps understand the public transportation system of a city,https://www.data.gov.in/catalog/buses-bareilly-smart-city
cc73c91b-259b-456d-af90-e29708f7ea12,Buses : Bareilly,Ministry of Housing and Urban Affairs,Road Transport,Bus|cost|earnings|Revenue|stands|Stops|Terminals,,,2019-02-07,2025-02-18,This catalog helps understand the public transportation system of a city,https://www.data.gov.in/catalog/buses-bareilly
2fc63498-81db-47bd-8514-fc540bdbe86a,Water Supply : Bareilly,Ministry of Housing and Urban Affairs,Drinking Water,catalog helps determine the water consumption per capita,,,2019-02-07,2019-02-21,catalog helps determine the water consumption per capita,https://www.data.gov.in/catalog/water-supply-bareilly
51796ef2-33f0-4703-bffe-2e413fe41cd4,Water & Sanitation : Bareilly,Ministry of Housing and Urban Affairs,Sanitation,Households|Sanitation|Sewerage Network|toilet|water,,,2019-02-09,2025-02-12,catalog describes the sewerage network and details the spread of public toilets available within an area in the city,https://www.data.gov.in/catalog/water-sanitation-bareilly
f2d8da63-fb2c-4e62-be9e-f81a82cef1a9,Solid Waste Management : Bareilly,Ministry of Housing and Urban Affairs,Environment and Forest,Solid Waste Disposal:Bareilly,,,2019-02-07,2019-02-21,Solid Waste Disposal,https://www.data.gov.in/catalog/solid-waste-management-bareilly-0
8af10cc5-a4e8-4218-9f82-1ac494ffd222,Solid Waste Processing : Bareilly,Ministry of Housing and Urban Affairs,Environment and Forest,Anaerobic Digestion|Bins|Biomethanation|capacity|Charges|Collection|Compost|Composting|D2D|Disposal|door2door|Energy|garbage|Generation|Households|incineration|Landfill|Pelletization|Plasma Pyrolysis|Power|Process|Quantity|RDF|recyclables|Recycling|Refuse Derived Fuel|Revenue|Sanitation|segregation|sewerage|toilet|Transportation|treatment|user|vehicle|Waste|water|Windrow composting,,,2019-02-07,2025-02-17,"This catalog defines source segregation, D2D collection efficiency, placement and sizes of bins, collection vehicles and their capacity, types of processing of waste and disposal options available for waste collected",https://www.data.gov.in/catalog/solid-waste-processing-bareilly
79025fef-77de-45f8-b8ff-51b62d243313,Solid Waste Collection Equipment : Bareilly,Ministry of Housing and Urban Affairs,Environment and Forest,Solid Waste Collection Equipment of Bareilly City,,,2019-02-08,2019-02-21,"source segregation, D2D collection\
efficiency, placement and sizes of bins, collection vehicles and\
their capacity, types of processing of waste and disposal\
options available for waste collected",https://www.data.gov.in/catalog/solid-waste-collection-equipment-bareilly
e9636630-2ebd-4211-9d1d-e8b50c9bf330,Mortality Rate : Bareilly Smart City,Ministry of Housing and Urban Affairs,Census and Surveys,age group|birth|child|Death|Infant|Mortality,,,2019-02-13,2025-02-12,"defines various indicators under mortality such as number of live births, number of deaths divided by male, female, infants, children",https://www.data.gov.in/catalog/mortality-rate-bareilly-smart-city
8b830ef3-f90e-49bd-978c-4822b0756cd7,Open Spaces : Bareilly Smart City,Ministry of Housing and Urban Affairs,Environment and Forest,Green|green area|greenery|openspace|Tree,,,2019-02-13,2025-02-17,determine the per capita availability of green spaces,https://www.data.gov.in/catalog/open-spaces-bareilly-smart-city
eee61d0b-2b05-4cff-8257-527f84cc87f3,Housing & Slums : Bareilly Smart City,Ministry of Housing and Urban Affairs,Census and Surveys,Identified|notified|Recognised|slum,,,2019-02-13,2025-02-17,the slum and housing infrastructure details of the city,https://www.data.gov.in/catalog/housing-slums-bareilly-smart-city
9b834886-52d9-4d62-8cc8-cc4e6feec2c8,ITC Neighbourhood : Bareilly Smart City,Ministry of Housing and Urban Affairs,Others,area|Facilities|municipal|neighbourhood|Park|Playground|residential,,,2019-02-13,2025-02-14,"Facilities for children at ward level; % of total area covered under parks, playgrounds and open spaces; % of municipal budget allocated for open spaces",https://www.data.gov.in/catalog/itc-neighbourhood-bareilly-smart-city
